"location","indicator","age","sex","measure","Unit","Date","Value"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","1696.5"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","1651.9"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","1707"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","1607"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","1431.5"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","1427.5"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","1316.5"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","1361.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","1276.2"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","1186.3"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","1074.7"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","1035.6"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","938.5"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","928.1"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","579.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","453.5"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","454.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","448.7"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","411.6"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","413.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","307.4"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","311.3"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","303.7"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","338.4"
