"location","indicator","age","sex","measure","Unit","Date","Value"
"Australia","Total Recorded Crime","10–14","Total","Number","Number","2022","15940"
"Australia","Total Recorded Crime","15–19","Total","Number","Number","2022","52464"
"Australia","Total Recorded Crime","20–24","Total","Number","Number","2022","52018"
"Australia","Total Recorded Crime","25–29","Total","Number","Number","2022","50869"
"Australia","Total Recorded Crime","30–34","Total","Number","Number","2022","46650"
"Australia","Total Recorded Crime","35–39","Total","Number","Number","2022","42338"
"Australia","Total Recorded Crime","40–44","Total","Number","Number","2022","35470"
"Australia","Total Recorded Crime","45–49","Total","Number","Number","2022","27602"
"Australia","Total Recorded Crime","50–54","Total","Number","Number","2022","20124"
"Australia","Total Recorded Crime","55–59","Total","Number","Number","2022","11801"
"Australia","Total Recorded Crime","60–64","Total","Number","Number","2022","6637"
"Australia","Total Recorded Crime","65 and over","Total","Number","Number","2022","7536"
