"location","indicator","age","sex","measure","Unit","Date","Value"
"Australia","Homicide and related offences","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","4.9"
"Australia","Homicide and related offences","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","0.8"
"Australia","Acts intended to cause injury","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","566.5"
"Australia","Acts intended to cause injury","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","179.2"
"Australia","Sexual assault and related offences","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","75.2"
"Australia","Sexual assault and related offences","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","5.2"
"Australia","Theft","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","158.5"
"Australia","Theft","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","103"
"Australia","Fraud/deception","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","48.6"
"Australia","Fraud/deception","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","25.9"
"Australia","Illicit drug offences","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","337.4"
"Australia","Illicit drug offences","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","114.9"
"Australia","Public order offences","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","233.6"
"Australia","Public order offences","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","68.9"
"Australia","Offences against justice","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","202.9"
"Australia","Offences against justice","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","52.4"
