location,indicator group,indicator,Value
Australia,Total,Total Recorded Crime,1632
Australia,Homicide and related offences,Homicide and related offences total,2.8
Australia,Homicide and related offences,Murder,1.2
Australia,Homicide and related offences,Attempted Murder,0.6
Australia,Homicide and related offences,Manslaughter and driving causing death,1
Australia,Acts intended to cause injury ,Acts intended to cause injury total,370.7
Australia,Acts intended to cause injury ,Assault,334.1
Australia,Acts intended to cause injury ,Other acts intended to cause injury,36.6
Australia,Sexual assault and related offences,Sexual assault and related offences total,39.7
Australia,Sexual assault and related offences,Sexual assault,27.1
Australia,Sexual assault and related offences,Non–assaultive sexual offences,12.7
Australia,Theft,Theft total,130.6
Australia,Theft,Motor vehicle theft,21.1
Australia,Theft,Theft (except motor vehicles),93.3
Australia,Theft,Receive or handle proceeds of crime,15.3
Australia,Fraud/deception ,Fraud/deception total,37.2
Australia,Fraud/deception ,Obtain benefit by deception,30
Australia,Fraud/deception ,Forgery and counterfeiting,1.7
Australia,Fraud/deception ,Deceptive business/government practices,0.4
Australia,Fraud/deception ,Other fraud and deception offences,4.7
Australia,Illicit drug offences,Illicit drug offences total,224.9
Australia,Illicit drug offences,Deal or traffic in illicit drugs,31.8
Australia,Illicit drug offences,Manufacture or cultivate illicit drugs,19
Australia,Illicit drug offences,Possess and/or use illicit drugs,149.3
Australia,Public order offences,Public order offences total,150.6
Australia,Public order offences,Disorderly conduct,84.1
Australia,Public order offences,Regulated public order offences,38.3
Australia,Public order offences,Offensive conduct,28.2
Australia,Offences against justice,Offences against justice total,126.8
Australia,Offences against justice,Breach of violence and non-violence orders,81
Australia,Offences against justice,Offences against justice procedures,32.3
