"location","indicator","age","sex","measure","Unit","Date","Value"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","1131.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","1047.6"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","1072.7"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","1020.6"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","914.9"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","913"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","805.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","828"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","784.1"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","756.4"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","674.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","648"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","592.6"
"Australian Capital Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","585.7"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","5223.9"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","5523.3"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","4899.8"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","5184.6"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","5453.1"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","5898.5"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","5719.4"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","5827.2"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","5708.9"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","5959.9"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","5191.7"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","4538.4"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","4348.3"
"Northern Territory","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","4061.5"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","1764.6"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","1807.4"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","1860.5"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","1727.9"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","1811.4"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","1856.1"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","1890.6"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","1922.1"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","1894.1"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","1826.4"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","1736"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","1642.2"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","1542"
"New South Wales","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","1891.9"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","2451.3"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","2425.7"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","2218.6"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","2226.1"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","2175.1"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","2344.3"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","2361.6"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","2342.2"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","2201.4"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","2089.3"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","2034.8"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","1975"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","1857.2"
"Queensland","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","1761.9"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","2681.6"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","2746.6"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","2791.8"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","2683.4"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","3069.2"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","3359.1"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","3186"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","3313.9"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","3265.4"
