"location","indicator","age","sex","measure","Unit","Date","Value"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","4.4"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","4.6"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","3.9"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","3.4"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","3.6"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","3.3"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","3.5"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","3.4"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","3.1"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","3.2"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","3.4"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","3.2"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","3.1"
"Australia","Homicide and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","2.8"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","384.9"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","379"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","364.9"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","348.6"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","352.3"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","352"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","353.5"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","365.1"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","369.3"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","362.5"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","357.2"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","351.5"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","368.3"
"Australia","Acts intended to cause injury","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","370.7"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","33.9"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","33.6"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","30"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","30.6"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","30.9"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","35.8"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","37.1"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","37.8"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","38.2"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","39.5"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","39.2"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","38.8"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","39.9"
"Australia","Sexual assault and related offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","39.7"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","314.8"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","337.6"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","335"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","328.8"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","313"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","236.2"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","191.6"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","201.5"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","198.8"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","192"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","187.6"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","174.7"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","138.2"
"Australia","Theft","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","130.6"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","54.1"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","50.6"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","46.8"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","44.2"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","50.7"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","58.9"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","60.8"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","53.8"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","52.3"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","56.2"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","54.5"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","51.7"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","41.7"
"Australia","Fraud/deception","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","37.2"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","300.7"
