"location","indicator","age","sex","measure","Unit","Date","Value"
"Australian Capital Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","928.1"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","256.4"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","5924.5"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","2120.7"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2885.3"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","913.7"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2635.4"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","912"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2400.6"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","768.4"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2075.2"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","781.1"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2046.3"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","572"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2297.4"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","784.8"
